geo_id,input_industry_chemical_fertilizers_scaling_factor,input_industry_chemical_refineries_scaling_factor,input_industry_chemical_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_chemical_other_steam_hot_water_demand,input_industry_chemical_other_wood_pellets_demand,input_industry_chemical_other_crude_oil_demand,input_industry_chemical_other_coal_demand,input_industry_chemical_other_network_gas_non_energetic_demand,input_industry_chemical_other_wood_pellets_non_energetic_demand,input_industry_chemical_other_crude_oil_non_energetic_demand,input_industry_chemical_other_coal_non_energetic_demand,input_industry_food_electricity_demand,input_industry_food_network_gas_demand,input_industry_food_steam_hot_water_demand,input_industry_food_wood_pellets_demand,input_industry_food_crude_oil_demand,input_industry_food_coal_demand,input_industry_ict_electricity_demand,input_industry_metal_steel_scaling_factor,input_industry_metal_aluminium_scaling_factor,input_industry_metal_other_electricity_demand,input_industry_metal_other_network_gas_demand,input_industry_metal_other_steam_hot_water_demand,input_industry_metal_other_wood_pellets_demand,input_industry_metal_other_crude_oil_demand,input_industry_metal_other_coal_demand,input_industry_other_electricity_demand,input_industry_other_network_gas_demand,input_industry_other_steam_hot_water_demand,input_industry_other_wood_pellets_demand,input_industry_other_crude_oil_demand,input_industry_other_coal_demand,input_industry_other_network_gas_non_energetic_demand,input_industry_other_wood_pellets_non_energetic_demand,input_industry_other_crude_oil_non_energetic_demand,input_industry_other_coal_non_energetic_demand,input_industry_paper_electricity_demand,input_industry_paper_network_gas_demand,input_industry_paper_steam_hot_water_demand,input_industry_paper_wood_pellets_demand,input_industry_paper_crude_oil_demand,input_industry_paper_coal_demand
GM1708,0,0,0,0,0,0,0,0,0,0,0,0,103.5155347,243.0610158,0,0,0,0,0,0,0,0,0,0,0,0,0,79.35931461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0180,0,0,0,0,0,0,0,0,0,0,0,0,70.1471852,164.7185085,0,0,0,0,0,0,0,0,0,0,0,0,0,53.78234977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0148,0,0,0,0,0,0,0,0,0,0,0,0,2.0088,4.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0166,0,0,13.99698909,15.99825064,0,0,0,0,0,0,0,0,80.12151283,266.5230401,0,0,0,0,3.505168164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.569667201,2.901237163,0,0,0,0
GM0193,0,0,34.05686376,38.92522103,0,0,0,0,0,0,0,0,195.0155737,648.7140158,0,0,0,0,8.51421594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.253134452,7.06452733,0,0,0,0
GM1773,0,0,4.421684851,5.045603573,0,0,0,0,0,0,0,0,25.30939857,84.17477358,0,0,0,0,1.098639488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813807028,0.922314632,0,0,0,0
GM1896,0,0,37.60642918,42.9721252,0,0,0,0,0,0,0,0,215.3029177,716.198207,0,0,0,0,9.404517109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.902077531,7.798300078,0,0,0,0
GM0150,0,0,1010.472626,281.5227151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.20517543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.3905083,51.10599199,0,0,0,0
GM0177,0,0,302.5559226,84.29303728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.445441515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.50754299,15.30032073,0,0,0,0
GM0160,0,0,236.2316968,56.98144026,0,0,0,0,0,0,0,0,193.1678005,90.74178162,159.573729,0,0,0,0,0,0,0,0,0,0,0,0,910.5845014,189.1319773,0,0,0,0,0,0,0,0,43.33975319,10.34274169,0,0,0,0
GM0175,0,0,24.0012,5.7888,0,0,0,0,0,0,0,0,19.6272,9.2196,16.2144,0,0,0,0,0,0,0,0,0,0,0,0,92.5164,19.2168,0,0,0,0,0,0,0,0,4.4028,1.0512,0,0,0,0
GM0163,0,0,201.5184449,273.7021515,0,0,0,0,0,0,0,0,111.7253819,146.0770596,0,0,0,0,0,0,0.004241168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.670348797,3.211692583,0,0,0,0
GM1742,0,0,101.0599927,137.2645684,0,0,0,0,0,0,0,0,56.02858143,73.25788553,0,0,0,0,0,0,0.002129207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.340669152,1.612594964,0,0,0,0
GM1700,0,0,131.943223,179.2180904,0,0,0,0,0,0,0,0,73.1528464,95.64766584,0,0,0,0,0,0,0.002778253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.668388098,2.106495577,0,0,0,0
GM0141,0,0,166.9004271,219.4545829,0,0,0,0,0,0,0,0,329.7990241,284.9592398,0,0,0,0,12.45870995,0,0.003507539,0,0,0,0,0,0,1309.987065,80.12339086,0,0,0,0,0,0,0,0,7.174365483,2.574671484,0,0,0,0
GM0189,0,0,10.58844723,13.92312054,0,0,0,0,0,0,0,0,20.91905889,18.07427315,0,0,0,0,0.790695735,0,0.000222017,0,0,0,0,0,0,83.1004028,5.079360643,0,0,0,0,0,0,0,0,0.455509499,0.163295858,0,0,0,0
GM1735,0,0,30.56563813,40.19690342,0,0,0,0,0,0,0,0,60.40438832,52.19055453,0,0,0,0,2.280610931,0,0.000644875,0,0,0,0,0,0,239.9275388,14.67405041,0,0,0,0,0,0,0,0,1.317484402,0.472477165,0,0,0,0
GM0147,0,0,1.6848,2.214,0,0,0,0,0,0,0,0,3.3264,2.8728,0,0,0,0,0.126,0,3.56956E-05,0.00E+00,0,0,0,0,0,13.212,0.8064,0,0,0,0,0,0,0,0,0.072,0.0252,0,0,0,0
GM0183,0,0,9.067227262,11.91404522,0,0,0,0,0,0,0,0,17.91029563,15.47817163,0,0,0,0,0.672476682,0,0.000193019,0,0,0,0,0,0,71.13682501,4.348682543,0,0,0,0,0,0,0,0,0.392278064,0.134495336,0,0,0,0
GM1774,0,0,0,0,0,0,0,0,0,0,0,0,108.1564767,131.446945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0173,0,0,0,0,0,0,0,0,0,0,0,0,42.3864,51.5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0164,0,0,15.14943812,1624.933956,739.397059,0,0,0,0,0,0,0,20.00248226,100.4303268,6.686648548,0,0,0,46.96325816,0,0.000933723,0,0,0,0,0,0,5.584396327,7.595614835,0,0,0,0,0,0,0,0,0.652993022,19.0726202,0,0,0,0
GM0153,0,0,20.1397109,2160.03369,982.8858962,0,0,0,0,0,0,0,26.58964948,133.5027434,8.887628266,0,0,0,62.4278727,0,0.001242119,0,0,0,0,0,0,7.422922018,10.09601092,0,0,0,0,0,0,0,0,0.868361561,25.34988027,0,0,0,0
GM0158,0,0,6.707683291,719.6789558,327.478307,0,0,0,0,0,0,0,8.858118418,44.47895137,2.961426477,0,0,0,20.79800397,0,0.000413672,0,0,0,0,0,0,2.474831667,3.36430605,0,0,0,0,0,0,0,0,0.287771124,8.44477444,0,0,0,0
GM0168,0,0,2.142910321,230.0104698,104.6597401,0,0,0,0,0,0,0,2.833403646,14.21463846,0.947642564,0,0,0,6.647784017,0,0.000131712,0,0,0,0,0,0,0.790495807,1.076217183,0,0,0,0,0,0,0,0,0.090478436,2.700067004,0,0,0,0