geo_id,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv
GM0197,0.874155891,0.665616219
GM0200,3.002076156,2.349169584
GM0202,2.141524848,1.516396052
GM0203,1.607574783,1.993466437
GM1945,0.805654754,0.358259756
GM1859,1.836382094,1.020653056
GM0209,0.48101277,0.48101277
GM1876,1.604894989,0.762918461
GM0213,0.52780079,0.41407524
GM0214,1.051683537,0.528377183
GM0216,0.531281631,0.610441919
GM0221,0.217579245,0.136465255
GM0222,1.389598107,1.212706243
GM0225,0.538960067,0.333512713
GM0226,0.592002839,0.613612161
GM0228,2.676163033,2.037454147
GM0230,0.484617853,0.380124327
GM0232,0.821647094,0.535604766
GM0233,0.592494557,0.411749203
GM0243,0.826503029,0.825458771
GM0244,0.239100601,0.104779489
GM0246,0.496951324,0.292235386
GM0252,0.458135877,0.183120923
GM1705,1.109978857,0.610247383
GM0262,1.179950611,0.540338549
GM0263,0.971066377,0.742372023
GM1955,1.235155919,0.910460061
GM1740,0.664979377,0.691709573
GM0267,1.002008736,0.980794884
GM0268,2.441939492,1.851083848
GM0302,0.485304634,0.428540866
GM0269,0.601527316,0.368126424
GM1586,1.073152187,0.935471283
GM1509,1.435812123,0.973309657
GM1734,1.344054545,0.956606795
GM0273,0.642533557,0.446523393
GM0274,0.487906348,0.218202272
GM0339,0.206342609,0.179862431
GM0275,0.807293698,0.393705572
GM0340,0.382042278,0.190598682
GM0277,0.03201544,0.00563017
GM0279,0.241386519,0.196270571
GM0281,0.82198201,1.18196154
GM0345,1.07470842,1.119819
GM0285,0.839808174,0.588415076
GM0289,0.495239788,0.296136412
GM1960,1.641353737,1.572245573
GM0668,0.797110577,0.503345963
GM0293,0.265725355,0.071429595
GM0296,1.023405296,0.937777694
GM0294,0.894893902,0.642335918
GM0297,0.901194248,0.909404722
GM0299,1.127489034,0.839236676
GM0301,0.849867992,0.699533048
PV25,49.21193172,37.2584256