geo_id,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM0358,0.006255118,0.000107915,0.000410712,0.000737683,3.38E-05,0.000527769,0.000809809,0,1.20E-05,2.45E-06,0.000853036,0,0.000170224,6.98E-05,0,0.000967981,0.000118421,0.001095089,0.000149251
GM0197,0.00040086,4.50E-05,0.000356263,0.001074203,5.48E-05,0.000319217,0.000701068,0,0.000187731,6.54E-06,0.000738662,0,0.043839344,0.027592392,0,0.013228368,4.87E-05,0.009410257,0.000439921
GM0059,0.000113531,4.86E-05,0.000453156,0.000771654,6.46E-05,0.000348847,0.000729184,0,0.000186008,0,0.000770949,0,0.040208966,0.015230198,0,0.023524477,5.27E-05,0.00224054,0.000308485
GM0484,0.000567992,0.000248716,0.001864988,0.002893363,0.000176247,0.001350235,0.002798546,0,0.000168489,0.003972075,0.003502708,0,0.041643367,0.014087544,0,0.032459776,0.004208748,0.004924139,0.010671267
GM0200,0.001486374,0.000739197,0.002104015,0.004568931,0.000569297,0.003853791,0.004119769,0,0.000179213,0.005828462,0.00457672,0,0.04693495,0.019841566,0,0.012328112,0.002633808,0.01715666,0.005187497
GM0202,0.000186757,0.000818416,0.004380236,0.00378672,0.000545159,0.003467501,0.003968476,0,1.80E-05,0.018032969,0.004184245,0,0.003641247,0.001264538,0,0.0022565,0.01908588,0.012257745,0.002242188
GM0203,0.000913197,0.0004451,0.028500705,0.001767041,0.000167836,0.00176862,0.001425459,0,0.000124902,0.000117657,0.001502636,0,0.120202677,0.064776914,0,0.016852747,0.000191423,0.013048974,0.391110971
GM1945,0.000329183,9.59E-05,0.000453271,0.0012885,4.82E-05,0.000437617,0.000893721,0,2.05E-05,0,0.016147887,0,0.017517837,0.007497289,0,0.008505165,0.000104946,0.001128173,0.000370481
GM1724,6.85E-05,3.43E-05,0.00024065,0.00076316,4.31E-05,0.000292492,0.000474493,0,0.0001035,2.45E-06,0.000499835,0,0.033070653,0.022076684,0,0.007422141,3.73E-05,0.000633688,7.33E-05
GM1859,0.000140204,9.33E-05,0.000586134,0.001676757,0.000103626,0.000646309,0.001155691,0,0.000475083,9.60E-05,0.001637444,0,0.134978898,0.077996003,0,0.038231726,0.000101384,0.004579635,0.001254994
GM0209,0.000675685,0.000114236,0.004869504,0.000847183,9.17E-05,0.000903002,0.000658802,0,4.04E-05,0,0.000708611,0,0.011382989,0.004495402,0,0.005071765,4.41E-05,0.002121671,0.096213038
GM0755,0.001808477,2.40E-05,0.000133733,0.000375361,1.46E-05,8.58E-05,0.000263683,0,6.74E-05,0,0.000277794,0,0.022618717,0.031099057,0,0.003975321,2.62E-05,0.000331353,4.78E-05
GM1876,0.000110765,9.29E-05,0.000485371,0.001367945,0.000250391,0.000602466,0.000957012,0,0.000469454,3.68E-06,0.001010066,0,0.121037843,0.054563672,0,0.039755233,6.84E-05,0.001225878,0.042238655
GM0213,0.000143707,3.71E-05,0.000277311,0.000791839,0.000541679,0.000339007,0.000546778,0,9.09E-05,1.96E-05,0.000577872,0,0.024439473,0.008853295,0,0.010302165,4.02E-05,0.000665163,0.000349635
GM0214,0.000480495,5.00E-05,0.000345162,0.000926222,2.58E-05,0.000435387,0.000680561,0,0.000181085,0,0.000723442,0,0.03871749,0.01793773,0,0.021957391,5.44E-05,0.000798073,0.000273142
GM0216,1.08E-05,8.48E-05,0.000364233,0.000764329,3.91E-05,0.000378849,0.000718163,0,3.40E-05,1.51E-05,0.000757128,0,0.007736276,0.002688558,0,0.004366483,9.29E-05,0.00105104,0.000462665
GM0762,0.005974773,5.64E-05,0.000419805,0.00115436,8.13E-05,0.000786454,0.000827737,0,0.000180458,1.63E-06,0.001476251,0,0.059571414,0.083950444,0,0.012411586,6.13E-05,0.000992767,0.004332987
GM0221,1.18E-06,1.87E-05,0.000150068,0.000384561,1.97E-05,0.000107085,0.000295891,0,9.98E-06,1.84E-05,0.000312324,0,0.002526858,0.00088872,0,0.001617878,2.02E-05,0.000347597,3.37E-05
GM0222,9.16E-05,0.000205088,0.000761306,0.001868263,0.000625399,0.000811464,0.001471869,0,0.000114885,1.43E-05,0.001970553,0,0.024767123,0.023103531,0,0.008613771,0.00022515,0.017310969,0.00037096
GM0225,0.000340037,4.86E-05,0.00024248,0.000572187,3.75E-05,0.000333835,0.000476708,0,4.77E-05,0,0.013272163,0,0.015140725,0.015688432,0,0.005378406,5.31E-05,0.000599968,0.000336146
GM0226,0.000725569,8.13E-05,0.016864394,0.000752464,8.18E-05,0.000536747,0.000665734,0,2.02E-05,2.90E-05,0.000964861,0,0.005191415,0.002484108,0,0.003870869,8.04E-05,0.000919818,0.002935865
GM0228,0.002144564,0.000499594,0.001482718,0.003555215,0.00024188,0.002270489,0.002907439,0,0.0002301,0.000818574,0.003246989,0,0.132812917,0.078246064,0,0.019143988,0.001132088,0.004229796,0.170960355
GM0230,0.000515281,7.66E-05,0.000301893,0.000703752,3.27E-05,0.000465802,0.000595246,0,7.05E-05,0,0.000627264,0,0.016678589,0.005508456,0,0.007015215,7.89E-05,0.000810037,0.00184713
GM0232,0.000323006,6.32E-05,0.000425739,0.001065388,7.69E-05,0.000777524,0.000839437,0,0.000133405,7.35E-06,0.000884451,0,0.033361381,0.015105471,0,0.011468772,6.87E-05,0.00115502,0.000458271
GM0233,0.00235463,0.000129946,0.000346127,0.00088326,5.67E-05,0.000506695,0.000682464,0,3.04E-05,1.14E-05,0.000719406,0,0.018635102,0.007160725,0,0.003651623,0.000129587,0.000996127,0.017230994
GM0243,0.000883352,0.000148321,0.000622355,0.001238246,0.000163953,0.000862098,0.001192838,0,1.33E-05,7.76E-06,0.00144088,0,0.006624824,0.002680336,0,0.001279282,0.000155639,0.002690974,0.003319083
GM0072,0.000180675,3.55E-05,0.002668519,0.000559794,7.08E-05,0.000272155,0.000411171,0,1.59E-05,0,0.00148381,0,0.008260841,0.003516808,0,0.004105055,3.86E-05,0.00050211,0.000277009
GM0244,0.000721173,5.52E-05,0.000156226,0.000405138,3.89E-05,0.000529322,0.000308034,0,1.08E-05,3.27E-06,0.005779132,0,0.005687495,0.00225523,0,0.002993177,2.47E-05,0.000365457,0.046177084
GM0246,0.004211774,3.38E-05,0.000244654,0.000774705,6.06E-05,0.00045854,0.000482389,0,5.77E-05,0,0.0005087,0,0.015308283,0.005950866,0,0.007557838,3.67E-05,0.001258593,0.00027778
GM0252,0.00010253,3.11E-05,0.000217451,0.0005228,1.43E-05,0.000429951,0.000426912,0,5.21E-05,0,0.000452941,0,0.009731914,0.00558619,0,0.00379326,3.38E-05,0.000495087,0.000133106
GM0534,0.000459356,5.36E-05,0.000278871,0.000558742,2.35E-05,0.000167012,0.000549854,0,1.29E-06,0.000026146,0.000579396,0,0.000424912,0.000143269,0,0.000673031,5.85E-05,0.008175207,6.86E-05
GM1735,0.000368526,0.000107391,0.000461814,0.001388781,0.000108503,0.000586384,0.000909873,0,0.000362025,1.92E-05,0.00125002,0,0.104595485,0.066402451,0,0.034455053,7.41E-05,0.006466711,0.056030341
GM1884,0.005154332,4.16E-05,0.000341554,0.000917586,4.66E-05,0.000899244,0.000673447,0,8.40E-05,0,0.000709823,0,0.031311018,0.011199318,0,0.018120256,4.50E-05,0.000769657,0.000364565
GM0537,0.003647215,0.000121922,0.000840973,0.001501591,9.01E-05,0.000445454,0.001658159,0,1.19E-05,8.17E-07,0.001746601,0,0.001088003,0.000279095,0,0.000968376,0.000132213,0.002141311,0.001545332
GM0546,2.30E-05,0.000532771,0.002027533,0.002671835,0.000194222,0.001398809,0.003167682,0,3.48E-06,0.003864085,0.003389647,0,0.000747282,0.000202048,0,0.000876125,0.000578943,0.004837171,0.002387605
GM0547,2.00E-06,7.06E-05,0.000354889,0.000633176,2.02E-05,0.000464068,0.000699739,0,8.29E-06,1.80E-05,0.000737174,0,0.00218317,0.000602433,0,0.001562389,7.71E-05,0.000937889,8.65E-05
GM1705,0.012043393,8.03E-05,0.000605133,0.00162688,8.85E-05,0.000531377,0.001193151,0,7.84E-06,6.95E-06,0.041265313,0,0.008396617,0.006413946,0,0.006231758,8.71E-05,0.001561449,0.000733358
GM0553,0.000111977,4.89E-05,0.000297875,0.000621982,2.63E-05,0.000193812,0.000587326,0,5.40E-06,2.98E-05,0.000618873,0,0.002104989,0.000998015,0,0.001139692,5.33E-05,0.000727446,0.000318691
GM0262,0.000440138,0.000203986,0.000439587,0.0012157,0.000131883,0.000622879,0.000866277,0,0.000336037,0,0.000916339,0,0.078626007,0.032562872,0,0.029563943,9.60E-05,0.001137693,0.163881251
GM0263,0.003868791,5.60E-05,0.000320537,0.000962815,0.00011709,0.000736047,0.000630216,0,0.000045416,0,0.018385485,0,0.023167572,0.008168605,0,0.009468223,6.11E-05,0.000779463,0.000179092
GM1955,8.80E-05,7.59E-05,0.000465127,0.001268591,0.000122245,0.000455839,0.000915943,0,0.000159183,2.21E-05,0.019757515,0,0.036964711,0.022983994,0,0.012902366,8.27E-05,0.008625301,0.000200131
GM1740,0.000695289,4.16E-05,0.000303077,0.000767635,7.85E-05,0.001060094,0.00059225,0,4.53E-05,8.17E-07,0.023260773,0,0.012464991,0.005568449,0,0.006901664,4.52E-05,0.021849354,0.000358449
GM0569,0.006223655,5.47E-05,0.000359505,0.000878188,5.19E-05,0.000360879,0.000706542,0,0.00011035,2.45E-06,0.000744479,0,0.027838293,0.011435714,0,0.02254605,5.95E-05,0.000852396,0.000390583
GM0267,0.000643681,9.07E-05,0.000540989,0.001211631,0.000106952,0.000698577,0.001064997,0,0.000102376,0.000013073,0.001122166,0,0.02520057,0.016370498,0,0.010551735,9.66E-05,0.008149001,0.001345049
GM0268,0.000485127,0.000782839,0.002282337,0.004264474,0.000208547,0.002171016,0.004446612,0,4.76E-06,0.000170924,0.005259906,0,0.001224044,0.000468849,0,0.001034015,0.000902525,0.006760124,0.0006156
GM1970,0.00013037,8.65E-05,0.004428023,0.001859003,0.000113802,0.000514167,0.001187105,0,0.000475833,6.13E-06,0.00125057,0,0.14462087,0.047679095,0,0.077154848,9.39E-05,0.002192357,0.001792128
GM0575,0.001483735,0.000141375,0.00055102,0.001193537,4.59E-05,0.000491508,0.001085765,0,1.17E-05,6.54E-06,0.001668646,0,0.001311751,0.000374944,0,0.00183778,0.000155022,0.002475189,0.000645337
GM0302,0.000102585,5.55E-05,0.000353448,0.000866409,9.27E-05,0.000679465,0.000696899,0,5.60E-05,0,0.000734511,0,0.022666216,0.008225863,0,0.006469931,6.04E-05,0.000828699,9.96E-05
GM0579,0.000197157,5.35E-05,0.000303928,0.000613997,1.14E-05,0.000263285,0.00059926,0,2.97E-06,1.63E-06,0.000631228,0,0.000612745,0.000177277,0,0.000165136,5.84E-05,0.00071414,7.46E-05
GM0269,6.22E-05,5.39E-05,0.00030566,0.000789603,5.45E-05,0.000608756,0.000599364,0,0.000126607,0,0.000736788,0,0.030813544,0.01113527,0,0.015624777,5.88E-05,0.000727031,0.000116527
GM1586,0.000827167,8.67E-05,0.000390487,0.001106911,0.00013801,0.000435006,0.000769929,0,0.000209682,4.09E-06,0.003540441,0,0.066501732,0.045177482,0,0.016564589,9.49E-05,0.025399882,0.000913962
GM0085,7.17E-05,0.000103004,0.000352501,0.001099162,6.48E-05,0.000368631,0.000667531,0,0.000369313,8.17E-07,0.000703273,0,0.093972938,0.034057195,0,0.042927426,4.57E-05,0.000770425,0.08664374
GM1509,0.000396321,9.08E-05,0.000523328,0.001541548,0.000156577,0.000629046,0.001030808,0,0.000265078,1.92E-05,0.001086006,0,0.055693152,0.028735559,0,0.020554729,9.25E-05,0.002778667,0.002458892
GM1734,0.002081202,9.15E-05,0.000619299,0.001569591,7.26E-05,0.001581256,0.001220383,0,0.0001096,3.10E-05,0.009952889,0,0.03032546,0.013033684,0,0.016390754,9.95E-05,0.009995442,0.000379988
GM0273,0.001140752,4.47E-05,0.0003224,0.000822165,4.14E-05,0.000616239,0.000635219,0,8.26E-05,1.23E-06,0.000669608,0,0.046581192,0.024499315,0,0.008891986,4.85E-05,0.000738554,0.000594618
GM0274,3.67E-06,9.41E-05,0.000415089,0.001211582,0.01061968,0.000564907,0.000818434,0,1.99E-05,1.63E-06,0.000863288,0,0.002733222,0.000810147,0,0.002125037,9.97E-05,0.001029866,0.001132729
GM0275,1.52E-05,0.000103172,0.000576897,0.00138946,8.71E-05,0.000515414,0.001136786,0,2.43E-05,4.86E-05,0.001200122,0,0.010157515,0.00330097,0,0.004709981,0.000189066,0.00151284,0.000180748
GM0599,0.012875508,0.002985826,0.075277925,0.013340549,0.001799547,0.008519069,0.016251172,0,5.40E-06,0.260476618,0.040843514,0,0.00200829,0.000526285,0,0.004928609,0.035826487,0.091067125,0.017039767
GM0277,2.74E-06,4.33E-06,1.99E-05,7.47E-05,5.97E-07,2.45E-05,3.93E-05,0,6.06E-07,0,4.14E-05,0,3.52E-06,1.87E-06,0,3.39E-05,4.75E-06,4.91E-05,7.42E-06
GM0279,2.77E-05,1.44E-05,0.000125843,0.000314497,1.92E-05,7.64E-05,0.000248126,0,1.61E-05,0,0.000576281,0,0.005951616,0.004702075,0,0.001997774,1.56E-05,0.000302475,3.90E-05
GM0090,0.000106238,0.00016992,0.000850497,0.001884328,9.37E-05,0.001010664,0.001449745,0,0.000206415,5.47E-05,0.001527349,0,0.046186822,0.015376589,0,0.030706355,0.000183725,0.002253854,0.010714241
GM0281,0.000136898,0.000132971,0.000998007,0.001232736,0.000257741,0.000862927,0.001083759,0,7.46E-06,1.14E-05,0.018614769,0,0.004261808,0.001419813,0,0.002750001,0.000143786,0.001550719,0.001261464
GM0737,6.16E-05,6.01E-05,0.000584947,0.001313131,4.28E-05,0.000442219,0.000832741,0,0.000276986,0,0.000881078,0,0.067542529,0.021722795,0,0.044297245,6.43E-05,0.000962651,0.00066327
GM0626,0.000311289,3.72E-05,0.000332382,0.000672949,1.13E-05,0.00014638,0.000655363,0,1.02E-05,8.17E-06,0.000690773,0,0.00147777,0.00045036,0,0.001482439,4.02E-05,0.00072368,0.00011058
GM0285,0.001245282,0.000117613,0.000316034,0.000875175,4.47E-05,0.000761386,0.000623129,0,0.000165595,0,0.000710355,0,0.059529207,0.024715012,0,0.019739241,6.60E-05,0.000791025,0.10660201
GM0289,0.000397635,0.000157724,0.000499614,0.000963814,4.36E-05,0.000305694,0.000984634,0,2.34E-05,1.63E-06,0.001037855,0,0.002786963,0.000967829,0,0.003184648,0.000177572,0.001387176,0.000127543
GM1960,0.007366206,0.000168204,0.000653631,0.00175017,0.000131435,0.002709124,0.001288315,0,0.000221679,2.86E-06,0.017755717,0,0.074526952,0.029601684,0,0.036901133,0.000213008,0.002431652,0.039548608
GM0668,0.000724891,3.40E-05,0.000245421,0.000715581,3.17E-05,0.000379145,0.0004839,0,0.000116064,2.86E-06,0.00066193,0,0.027176622,0.020204707,0,0.013076817,3.69E-05,0.001281722,0.000193337
GM0293,4.52E-07,1.82E-05,0.000198134,0.000444238,1.43E-05,9.96E-05,0.000390664,0,3.66E-09,0,0.000727155,0,0.000383791,8.43E-05,0,0.000625404,1.96E-05,0.000419613,4.65E-05
GM0098,6.79E-05,3.88E-05,0.000565626,0.000988189,3.49E-05,0.000513014,0.000665134,0,0.000431139,0,0.000700917,0,0.117659225,0.039814787,0,0.065525051,4.19E-05,0.000769383,0.000396937
GM0296,0.000187629,9.07E-05,0.00054035,0.001273771,0.000109545,0.000742644,0.001065415,0,0.000103482,5.02E-05,0.001175595,0,0.017911992,0.011024663,0,0.007358873,9.88E-05,0.001403545,0.000291007
GM0294,0.000662453,8.03E-05,0.000382959,0.000923464,6.85E-05,0.000337817,0.000755085,0,0.000247301,9.80E-06,0.009500574,0,0.047681551,0.023307413,0,0.018065662,8.77E-05,0.001150287,0.000774343
GM0297,0.017080983,8.17E-05,0.000364141,0.000611811,5.40E-05,0.00083976,0.000712899,0,6.75E-05,2.74E-05,0.032519401,0,0.021561308,0.009078808,0,0.011636518,8.93E-05,0.006116871,0.000674997
GM0299,0.000157226,9.91E-05,0.002412524,0.001404973,0.00010542,0.000773327,0.001125112,0,6.83E-05,2.90E-05,0.097361947,0,0.027874121,0.013008705,0,0.01316259,0.000108056,0.001486788,0.000158709
GM0638,7.87E-06,3.55E-05,0.000144791,0.00025949,0.000433354,0.000169451,0.000211436,0,2.43E-05,6.54E-06,0.000222796,0,0.011207739,0.003605567,0,0.006833204,3.90E-05,0.000329506,2.77E-05
GM0301,0.000502472,0.000157034,0.001937899,0.001372261,0.000602768,0.000529979,0.001220798,0,3.21E-05,0,0.001707831,0,0.010433924,0.003767898,0,0.003614197,0.000171981,0.001818787,0.00178175
PV21,0.019469425,0.001825705,0.016749117,0.022648483,0.001274633,0.010836439,0.016840144,0,0.005119482,0.00019484,0.019997785,0,1.458996396,0.494956667,0,0.817023585,0.001879151,0.032498716,0.163088948
PV25,0.068678806,0.007115371,0.081695468,0.064157835,0.01748771,0.041589539,0.052808865,0,0.005276608,0.025484826,0.373886337,0,1.60849557,0.821505768,0,0.54937198,0.027852749,0.206685838,1.108920343
PV30,0.155905912,0.007825486,0.081202483,0.076275176,0.006519955,0.050552736,0.064852265,0,0.005747212,0.028787781,0.30482605,0,1.502194554,1.364194519,0,0.461829799,0.036496724,0.257474489,0.383348375
RES01,0.00271737,0.000769988,0.003950975,0.010827682,0.001519548,0.004237164,0.007757405,0,0.002128397,0.00017571,0.039241261,0,0.531464354,0.303460046,0,0.167916444,0.000801434,0.070480876,0.048651858
RES05,0.004205077,0.00141027,0.032312183,0.010181639,0.000754895,0.006178483,0.008916579,0,0.000565878,0.001036364,0.009894797,0,0.317742744,0.183752082,0,0.060291129,0.001834396,0.03015895,0.56429218
RES06,0.019469425,0.001825705,0.016749117,0.022648483,0.001274633,0.010836439,0.016840144,0,0.005119482,0.00019484,0.019997785,0,1.458996396,0.494956667,0,0.817023585,0.001879151,0.032498716,0.163088948
RES11,0.018812091,0.001501284,0.008169406,0.01445706,0.001201523,0.006789375,0.014321988,0,0.000470019,0.007939523,0.016221365,0,0.125867006,0.044801563,0,0.092590218,0.005572026,0.028710723,0.016841498
RES18,0.005779973,0.000564167,0.002408109,0.005708573,0.000480853,0.004268377,0.004710064,0,0.000390207,0.00002366,0.010707589,0,0.147686962,0.061465195,0,0.045925991,0.000556526,0.007156879,0.069385036
RES23,0.01733758,0.002572493,0.034847067,0.021414084,0.012144648,0.013219779,0.018822101,0,0.000547672,0.018418673,0.193890647,0,0.164143267,0.086051813,0,0.082166155,0.021031523,0.042088826,0.105810583
RES25,0.030364353,0.000649275,0.003594209,0.007731299,0.000735366,0.007401333,0.006190063,0,0.000718504,0.000060437,0.112678645,0,0.209613019,0.094668354,0,0.10705823,0.000736594,0.035858894,0.042951754
RES26,0.008352753,0.00135193,0.005745239,0.010663999,0.002027827,0.007343106,0.008698577,0,0.00099495,0.005855412,0.009882268,0,0.268633225,0.11079698,0,0.094574268,0.003113389,0.023982941,0.278538194
RGGLD01,0.068757106,0.007318123,0.082857782,0.066527276,0.017663137,0.042648242,0.055094789,0,0.005345608,0.025570256,0.376295207,0,1.639283571,0.84019447,0,0.557932217,0.028073862,0.209727366,1.109629605
GM0307,3.13E-05,0.00074149,0.002015655,0.003668992,0.000149948,0.002532407,0.003973372,0,5.03E-05,0.000961388,0.004373325,0,0.009444941,0.004434265,0,0.005072867,0.001555216,0.006037094,0.098673837
GM0308,2.29E-06,9.75E-05,0.00032255,0.000668076,3.03E-05,0.000534818,0.000635976,0,1.34E-05,0,0.000670298,0,0.004758551,0.001472745,0,0.002490446,0.0001072,0.000892951,7.96E-05
GM0310,3.11E-05,0.000148078,0.000557306,0.001365285,3.81E-05,0.000842431,0.001098848,0,3.83E-05,0.00029301,0.001158111,0,0.014568896,0.004783583,0,0.00727106,0.000162441,0.001559554,0.00056389
GM0312,0.000134124,6.70E-05,0.000193773,0.000517685,1.10E-05,0.000481203,0.000382064,0,5.44E-05,8.17E-07,0.000402668,0,0.016579733,0.006687796,0,0.00673203,7.36E-05,0.000558106,0.000314456
GM0313,8.76E-06,3.26E-05,0.000272871,0.000611,0.000134408,0.000216919,0.000538022,0,4.44E-05,8.17E-07,0.000567066,0,0.017186047,0.006563542,0,0.009665263,3.53E-05,0.000667866,0.000411196
GM0317,2.97E-06,2.01E-05,0.000116393,0.00027476,4.79E-06,0.00047439,0.000229495,0,4.16E-05,2.04E-06,0.000241982,0,0.008796501,0.002640268,0,0.007772898,2.20E-05,0.000277901,3.53E-05
GM0321,0.004658525,0.000129671,0.000642785,0.000988323,3.58E-05,0.000661858,0.001267391,0,7.46E-05,2.29E-05,0.001344467,0,0.01583781,0.005846674,0,0.008592374,0.000141757,0.002312578,0.000692539
GM0353,2.45E-06,9.33E-05,0.000450499,0.000855412,3.79E-05,0.000285481,0.000887567,0,2.34E-05,1.76E-05,0.000935991,0,0.007959221,0.002735454,0,0.003783709,9.33E-05,0.00115811,0.002197692
GM0327,2.02E-05,0.000119246,0.000384083,0.000632173,4.13E-05,0.00054733,0.000757302,0,5.50E-05,0,0.000798452,0,0.01649359,0.0057297,0,0.006550388,0.000131078,0.001076264,0.000137089
GM0331,2.52E-05,3.05E-05,0.000186332,0.000407068,2.43E-05,0.000351116,0.000367394,0,0.000148884,3.68E-06,0.000447087,0,0.039253248,0.01404211,0,0.02286082,3.33E-05,0.000481545,0.000238225
GM0335,8.18E-06,2.65E-05,0.000180689,0.000459327,4.35E-05,0.000192897,0.000356268,0,7.00E-05,8.17E-07,0.000375511,0,0.02253513,0.008617548,0,0.010613434,2.88E-05,0.000442197,0.000249917
GM0356,0.000307295,0.000357407,0.000810894,0.001198301,9.12E-05,0.001252874,0.001596427,0,7.39E-06,0,0.001691507,0,0.000154221,3.25E-05,0,0.000471479,0.0004183,0.002871447,0.000193168
GM0589,0.000108098,1.88E-05,0.000131155,0.00030944,1.23E-05,0.00010546,0.000258601,0,8.15E-05,0,0.00027309,0,0.024257527,0.00876188,0,0.014810937,2.05E-05,0.000312152,0.000227876
GM0339,3.68E-05,1.03E-05,6.58E-05,0.000134916,1.30E-05,0.000138657,0.000129665,0,2.37E-05,0,0.000136663,0,0.01698286,0.012531446,0,0.003398169,1.12E-05,0.000169624,3.61E-05
GM0340,1.78E-05,3.56E-05,0.000255175,0.00064958,2.17E-05,0.000326384,0.00050313,0,3.84E-05,1.23E-06,0.000530668,0,0.012843103,0.005565882,0,0.004535477,3.86E-05,0.00060296,0.000446929
GM0736,0.001283227,8.82E-05,0.000563076,0.001439455,4.49E-05,0.001129729,0.001109764,0,0.000151054,0,0.001226257,0,0.044373971,0.015055101,0,0.03556767,9.50E-05,0.001339113,0.000668208
GM0342,3.59E-06,0.000169863,0.000600952,0.001395465,7.17E-05,0.000540532,0.001184448,0,2.26E-05,8.17E-06,0.002088403,0,0.003533797,0.001533017,0,0.002540877,0.000170828,0.001597305,0.005008342
GM1904,0.001262588,0.000159951,0.000845069,0.001917276,5.16E-05,0.001975333,0.001666237,0,0.00013542,3.68E-06,0.001787899,0,0.040950191,0.013382309,0,0.026553537,0.000174585,0.00207386,0.000564862
GM0344,0.000789866,0.001860354,0.011055815,0.007283224,0.000486919,0.005134695,0.008708009,0,5.92E-05,0.000265136,0.016723487,0,0.006082082,0.001783183,0,0.005211618,0.002042185,0.04336835,0.005878455
GM1581,0.000903432,0.000191508,0.000636759,0.001137003,3.53E-05,0.001160883,0.001255507,0,8.13E-05,1.63E-06,0.001324109,0,0.028697825,0.014574039,0,0.010595388,0.00020673,0.001744921,0.002691833
GM0345,2.37E-05,0.000156852,0.000841339,0.001584945,0.000140727,0.000593662,0.001653129,0,6.90E-06,8.42E-05,0.001741539,0,0.000962038,0.000591374,0,0.000626591,0.000171313,0.002268944,0.000226233
GM1961,2.92E-05,0.000133725,0.000712801,0.001662639,8.41E-05,0.002159425,0.001404978,0,0.000236873,3.68E-06,0.10418655,0,0.056239977,0.019671287,0,0.035195466,0.00014599,0.001790728,0.000768695
GM0352,5.51E-05,3.27E-05,0.000306929,0.000596031,1.10E-05,0.000233038,0.000605176,0,6.92E-05,8.99E-06,0.00064155,0,0.017088544,0.006203467,0,0.007951607,3.52E-05,0.007146178,0.000284485
GM0632,0.006621173,0.00018742,0.00066914,0.00143815,8.18E-05,0.001646329,0.001319351,0,0.000158824,5.72E-06,0.012347987,0,0.045121941,0.016134833,0,0.031005047,0.000205726,0.002955794,0.000577074
GM0351,4.86E-05,3.50E-05,0.000165028,0.00039951,8.46E-06,0.000314473,0.000325388,0,5.14E-05,0,0.000342865,0,0.019407587,0.010590352,0,0.005206916,3.82E-05,0.000418022,0.000555999
GM0355,5.32E-06,0.000286657,0.000817212,0.001360262,5.54E-05,0.000997989,0.001606251,0,9.87E-06,6.54E-06,0.00169248,0,0.002573108,0.001021335,0,0.001174135,0.000315366,0.00234995,0.000704092
PV26,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907,0.016420907