geo_id,energy_power_ultra_supercritical_coal_full_load_hours,energy_power_supercritical_coal_full_load_hours,energy_power_ultra_supercritical_lignite_full_load_hours,energy_power_ultra_supercritical_network_gas_full_load_hours,energy_power_turbine_network_gas_full_load_hours,energy_power_combined_cycle_network_gas_full_load_hours,energy_power_ultra_supercritical_crude_oil_full_load_hours,energy_power_nuclear_gen2_uranium_oxide_full_load_hours,energy_power_hydro_river_full_load_hours,energy_power_hydro_mountain_full_load_hours,energy_power_supercritical_waste_mix_full_load_hours,energy_chp_coal_gas_full_load_hours,energy_chp_local_engine_biogas_full_load_hours,industry_chp_turbine_gas_power_fuelmix_full_load_hours,energy_chp_ultra_supercritical_lignite_full_load_hours,energy_chp_supercritical_waste_mix_full_load_hours,energy_chp_local_engine_network_gas_full_load_hours,industry_chp_engine_gas_power_fuelmix_full_load_hours,energy_chp_combined_cycle_network_gas_full_load_hours,industry_chp_combined_cycle_gas_power_fuelmix_full_load_hours,energy_chp_ultra_supercritical_coal_full_load_hours,industry_chp_ultra_supercritical_coal_full_load_hours,energy_chp_local_wood_pellets_full_load_hours,industry_chp_wood_pellets_full_load_hours,energy_power_geothermal_full_load_hours
AT,8000,8000,8000,1489.979284,1489.979284,1489.979284,1611.058817,8000,2204.323126,3523.066655,604.7687435,5320,8500,1306.502563,8000,2299.461464,1306.502563,1306.502563,1306.502563,1306.502563,2299.461464,2299.461464,2299.461464,2299.461464,218.579235
BE,8000,8000,8000,2373.171684,2373.171684,2373.171684,53.16455696,7323.506646,8000,8000,3101.430843,5320,8500,5450.567493,8000,4501.033963,5450.567493,5450.567493,5450.567493,5450.567493,4501.033963,4501.033963,4501.033963,4501.033963,8000
BG,8000,362.2458894,4404.593462,71.8500822,71.8500822,71.8500822,8000,8446.575539,8000,1345.375544,8000,5320,8500,8000,2734.956714,2734.956714,8000,8000,8000,8000,2734.956714,2734.956714,2734.956714,2734.956714,8000
CY,8000,8000,8000,8000,8000,8000,3131.040731,8000,8000,8000,8000,5320,8500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
CZ,8000,2334.196792,4527.936585,8000,8000,2764.857004,1836.714976,7458.807154,8000,2902.67606,8000,5320,8500,6849.656154,1053.916205,1053.916205,6849.656154,6849.656154,6849.656154,6849.656154,1053.916205,1053.916205,1053.916205,1053.916205,8000
DE,2242.553909,2242.553909,6014.784128,1312.311053,1312.311053,1312.311053,799.1749658,8000,4126.150743,6594.633938,2616.883117,5320,8500,5229.668569,601.8143135,601.8143135,8000,8000,5229.668569,5229.668569,601.8143135,601.8143135,601.8143135,601.8143135,4925
DK,8000,8000,8000,0.637728167,0.637728167,0.637728167,23.98341411,8000,8000,2334.434807,8000,5320,8500,1106.178733,8000,2645.282572,1106.178733,1106.178733,1106.178733,1106.178733,2645.282572,2645.282572,2645.282572,2645.282572,8000
EE,8000,8000,8000,8000,8000,8000,2763.959866,8000,8000,3166.666667,159.0899471,5320,8500,8000,5874.73592,5874.73592,4500,620,8000,8000,8000,8000,5874.73592,5874.73592,8000
ES,8000,1370.94075,8000,8000,8000,2260.418572,8000,8198.124024,1061.697311,1696.861205,5366.505179,5320,8500,6555.214356,8000,5959.090909,6555.214356,6555.214356,6555.214356,6555.214356,5959.090909,5959.090909,5959.090909,5959.090909,8000
FI,243.292907,243.292907,8000,8000,219.1164481,219.1164481,8000,8543.307087,8000,3794.828903,748.2246377,5320,8500,1835.070324,3629.331126,3629.331126,8000,8000,1835.070324,1835.070324,3629.331126,3629.331126,3629.331126,3629.331126,8000
FR,1016.668602,8000,8000,8000,3869.753055,3869.753055,3350.680027,6449.401742,8000,2570.395597,2506.72954,5320,8500,2821.620894,8000,3913.137655,2821.620894,2821.620894,2821.620894,2821.620894,3913.137655,3913.137655,3913.137655,3913.137655,8080.870021
EL,8000,8000,1837.026158,8000,2707.570705,2707.570705,6775.423729,8000,8000,1187.249414,8000,5320,8500,8000,2478.313516,2478.313516,8000,8000,8000,8000,8000,8000,2478.313516,2478.313516,8000
HR,5609.310345,8000,8000,46.49350649,8000,46.49350649,8000,8000,1821.931133,2911.9074,8000,5320,8500,3781.132219,2139.30131,8000,3781.132219,3781.132219,8000,8000,8000,8000,2139.30131,2139.30131,8000
HU,8000,8000,25.79132474,8000,2068.728837,2068.728837,26.82926829,8572.631579,3775.862069,8000,910.4477612,5320,8500,4353.789174,2649.047619,2649.047619,4353.789174,4353.789174,4353.789174,4353.789174,2649.047619,2649.047619,2649.047619,2649.047619,6000
IE,8000,594.0373619,4507.952699,8000,8000,3742.098839,302.8020909,8000,8000,4775.96226,7449.038698,5320,8500,6480.448123,4166.526904,8000,6480.448123,6480.448123,8000,8000,8000,8000,4166.526904,4166.526904,8000
IT,2958.616209,2958.616209,8000,8000,1668.343215,1668.343215,4933.576148,8000,1827.728776,2921.173502,2684.236467,5320,8500,4676.730364,8000,2641.494002,4676.730364,4676.730364,4676.730364,4676.730364,2641.494002,2641.494002,2641.494002,2641.494002,7918.325317
LT,8000,8000,8000,8000,8000,8000,8000,8000,8000,8100,8000,5320,8500,8000,8000,451.848249,8000,8000,8000,8000,8000,8000,451.848249,451.848249,8000
LU,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7243.075684,5320,8500,8000,8000,8000,2168.165422,2168.165422,8000,8000,8000,8000,4600.060813,4600.060813,8000
LV,8000,8000,8000,8000,8000,8000,8000,8000,1328.270908,8000,8000,5320,8500,8000,8088.65057,8000,2848.684457,2848.684457,2848.684457,2848.684457,8088.65057,8088.65057,8088.65057,8088.65057,8000
NL,3182.511233,3182.511233,8000,8000,2498.064223,2498.064223,8000,8044.749086,8000,2004.917417,8000,5320,8500,4507.878708,8000,3899.549298,4507.878708,4507.878708,4507.878708,4507.878708,3899.549298,3899.549298,3899.549298,3899.549298,8000
PL,8000,8000,322.395281,8000,8000,8000,8000,8000,8000,2737.390214,8000,5320,8500,8402.910152,4099.990909,4099.990909,8402.910152,8402.910152,8402.910152,8402.910152,4099.990909,4099.990909,4099.990909,4099.990909,8000
PT,8000,3150.736839,8000,8000,8000,3233.468776,8000,8000,1029.267812,1645.030652,7192.913658,5320,8500,6310.325516,8000,3220.762068,6310.325516,6310.325516,6310.325516,6310.325516,8000,8000,3220.762068,3220.762068,7400.687285
RO,8000,8000,3977.308762,1717.769256,1717.769256,1717.769256,8000,8677.051496,8000,2427.05486,3.838982121,5320,8500,8000,1548.864503,8000,8000,8000,8000,8000,1548.864503,1548.864503,1548.864503,1548.864503,8000
SE,8000,8000,8000,8000,8000,8000,8.984725966,8571.613739,8000,3972.360588,8000,5320,8500,8000,4861.012577,4861.012577,4085.457536,4085.457536,4085.457536,4085.457536,4861.012577,4861.012577,4861.012577,4861.012577,8000
SI,8000,8000,3691.5494,53.28647245,53.28647245,8000,8000,8280.593093,3999.722534,8000,8000,5320,8500,4677.797952,522.7809593,522.7809593,4677.797952,4677.797952,8000,8000,522.7809593,522.7809593,522.7809593,522.7809593,8000
SK,8000,8000,8000,1619.182529,8000,1619.182529,4.032258065,2393.274781,8000,2837.368094,2090.909091,5320,8500,7504.125799,1672.959908,1672.959908,7504.125799,7504.125799,7504.125799,7504.125799,1672.959908,1672.959908,1672.959908,1672.959908,8000
MT,8000,8000,8000,8000,8000,5435.135626,140.2235142,8000,8000,8000,8000,5320,8500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000