geo_id,input_percentage_of_lt_steam_hot_water_households_final_demand_steam_hot_water,input_percentage_of_mt_steam_hot_water_households_final_demand_steam_hot_water,input_percentage_of_ht_steam_hot_water_households_final_demand_steam_hot_water,input_percentage_of_lt_steam_hot_water_buildings_final_demand_steam_hot_water,input_percentage_of_mt_steam_hot_water_buildings_final_demand_steam_hot_water,input_percentage_of_ht_steam_hot_water_buildings_final_demand_steam_hot_water,input_percentage_of_central_mt_steam_hot_water_agriculture_final_demand_steam_hot_water,input_energy_chp_ultra_supercritical_mt_coal_production,input_energy_chp_ultra_supercritical_cofiring_mt_coal_production,input_energy_chp_ultra_supercritical_mt_lignite_production,input_energy_chp_combined_cycle_mt_network_gas_production,input_energy_chp_local_engine_mt_network_gas_production,input_energy_chp_supercritical_mt_waste_mix_production,input_energy_chp_local_mt_wood_pellets_production,input_energy_chp_local_engine_mt_biogas_production,input_energy_heat_well_deep_mt_geothermal_production,input_energy_heat_well_shallow_heatpump_mt_geothermal_production,input_energy_heat_well_shallow_lt_geothermal_production,input_energy_heat_burner_mt_wood_pellets_production,input_energy_heat_burner_mt_waste_mix_production,input_energy_heat_burner_mt_hydrogen_production,input_energy_heat_burner_lt_hydrogen_production,input_energy_heat_solar_mt_solar_thermal_production,input_energy_heat_solar_lt_solar_thermal_production,input_energy_heat_heatpump_water_water_mt_electricity_production,input_energy_heat_heatpump_water_water_lt_electricity_production,input_energy_heat_boiler_ht_electricity_production,input_energy_heat_boiler_mt_electricity_production,input_energy_heat_boiler_lt_electricity_production,input_energy_heat_burner_mt_network_gas_production,input_energy_heat_burner_mt_coal_production,input_energy_heat_burner_mt_crude_oil_production,energy_heat_import_ht_steam_hot_water_demand,energy_heat_import_mt_steam_hot_water_demand,energy_heat_import_lt_steam_hot_water_demand
AT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
